"filename", "language", "JSON with Comments", "Shell Script", "TypeScript", "TypeScript JSX", "PostCSS", "JavaScript", "Markdown", "JSON", "MS SQL", "YAML", "comment", "blank", "total"
"c:\Users\ashis\invoiceager\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 14, 144
"c:\Users\ashis\invoiceager\src\components\ui\empty-state.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ashis\invoiceager\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 25, 168
"c:\Users\ashis\invoiceager\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\ashis\invoiceager\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\ashis\invoiceager\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ashis\invoiceager\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\ashis\invoiceager\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 12, 117
"c:\Users\ashis\invoiceager\src\env.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 22, 4, 53
"c:\Users\ashis\invoiceager\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ashis\invoiceager\src\server\api\root.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 4, 32
"c:\Users\ashis\invoiceager\src\server\api\routers\clients.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\ashis\invoiceager\src\server\api\routers\dashboard.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\ashis\invoiceager\src\server\api\routers\invoices.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 1, 13, 129
"c:\Users\ashis\invoiceager\src\server\api\routers\post.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\ashis\invoiceager\src\server\api\routers\settings.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\ashis\invoiceager\src\server\api\trpc.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 66, 16, 134
"c:\Users\ashis\invoiceager\src\server\auth\config.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 17, 5, 77
"c:\Users\ashis\invoiceager\src\server\auth\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\ashis\invoiceager\src\server\db\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 5, 19
"c:\Users\ashis\invoiceager\src\server\db\schema.ts", "TypeScript", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 7, 17, 231
"c:\Users\ashis\invoiceager\src\styles\globals.css", "PostCSS", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 7, 126
"c:\Users\ashis\invoiceager\src\trpc\query-client.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 2, 26
"c:\Users\ashis\invoiceager\src\trpc\react.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 12, 13, 85
"c:\Users\ashis\invoiceager\src\trpc\server.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 7, 31
"c:\Users\ashis\invoiceager\start-database.sh", "Shell Script", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 84
"c:\Users\ashis\invoiceager\tsconfig.json", "JSON with Comments", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 43
"Total", "-", 35, 58, 804, 1416, 119, 178, 18, 2509, 97, 4464, 190, 1463, 11351
